시점,SUM(데이터)
2014,158583.0
2015,119080.0
2016,90719.0
2017,101166.0
2018,106082.0
2019,125151.0
2020,98677.0
2021,128067.0
2022,149651.0
2023,157437.0
2024,173793.0
