importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
India,United States of America,1748145.0,0.0,54738.0,252.0,19636.0,0.0,94797.0,0.0,1988,1989,1749001.7876414536,96809.31620975329,1.335245619906777,922905.5519256034,1232305.5957963085,826096.2357158501,1518577081430.8948,682434990663.8975,0.023078241033939646,0.022121237292323924,2,comp
Republic of Korea,United States of America,1956604.0,1021807.0,4214622.0,0.0,1770928.0,882216.0,6188408.0,0.0,1988,1989,4757670.371195234,6496990.428367891,0.1731635848747105,5627330.399781562,974448.7053006132,869660.0285863285,949550279262.0413,756308565320.7737,0.01443058142165918,0.024515860805147,3,comp
USSR,Argentina,593000.0,0.0,1099000.0,0.0,608000.0,0.0,163000.0,0.0,1988,1989,1248779.4040582187,629470.4123308735,0.814054462493694,939124.9081945461,764498.8223547509,309654.4958636726,584458449381.801,95885906808.58522,0.008882178675083358,0.0031081567131235085,4,comp
Spain,United States of America,15490.0,1327598.0,2035980.0,35080.0,51.0,1252191.0,877688.0,92403.0,1988,1989,2430884.9327979307,1531945.4438180884,0.38412525914072176,1981415.1883080094,761111.6226741761,449469.74448992114,579290902169.7174,202023051211.835,0.008803646013440422,0.006548608901235714,5,comp
Netherlands (Kingdom of the),France,1366776.0,2701.0,1233669.0,676.0,794130.0,4395.0,1694808.0,740.0,1988,1989,1841201.6695935293,1871640.0501669652,0.39835398514129877,1856420.8598802472,739512.6476327331,15219.19028671796,546878956008.7749,231623752.98333028,0.00831107259387025,7.508120293331162e-06,6,comp
Italy,France,2971777.0,80.0,1268804.0,2088.0,3389673.0,6001.0,692377.0,25.0,1988,1989,3231304.147598768,3459668.3323237794,0.2020413515621462,3345486.239961274,675926.5615543383,114182.09236250562,456876716614.6707,13037550216.279764,0.006943283365565612,0.000422614235774079,7,comp
Spain,France,589618.0,3382.0,82878.0,0.0,57597.0,2787.0,262969.0,2888.0,1988,1989,595423.8714831645,269232.64527727687,1.2155126308975834,432328.2583802207,525500.4587551123,163095.6131029438,276150732151.83344,26600179013.425137,0.00419673998523264,0.0008622489761285942,8,comp
United Kingdom of Great Britain and Northern Ireland,France,610744.0,0.0,835478.0,0.0,216348.0,558.0,973129.0,319.0,1988,1989,1034906.624783125,996888.6200925357,0.4124737141689639,1015897.6224378303,419031.06554235163,19009.002345294633,175587033889.5586,361342170.16341686,0.0026684453098156187,1.1712963138264683e-05,9,comp
Algeria,United States of America,1595836.0,0.0,875797.0,0.0,1577644.0,0.0,1350035.0,0.0,1988,1989,1820360.6577008304,2076428.4461452074,0.20588789113070247,1948394.5519230189,401150.8453859803,128033.89422218851,160922000753.8867,16392678069.698555,0.0024455766957595933,0.00053137123154207,10,comp
Netherlands (Kingdom of the),France,794130.0,4395.0,1694808.0,740.0,2172000.0,339.0,1250637.0,670.0,1989,1990,1871640.0501669652,2506327.486500916,0.6101786381186475,2188983.7683339408,1335671.1346258288,317343.7181669754,1784017379872.649,100707035460.04073,0.3741116443535945,0.0010398493648788138,1,comp
