country,year,month,value
Belize,2015,Feb,31.8
Belize,2015,Mar,39.1
Belize,2015,Apr,27.6
Belize,2015,May,24.7
Belize,2015,Jun,29.2
Belize,2015,Jul,31.0
Belize,2015,Aug,23.9
Belize,2015,Sep,14.3
Belize,2015,Oct,18.9
Belize,2015,Nov,29.9
Belize,2015,Dec,40.0
Belize,2016,Jan,38.3
Belize,2016,Feb,37.6
Belize,2016,Mar,43.1
Belize,2016,Apr,30.7
Belize,2016,May,29.7
Belize,2016,Jun,34.3
Belize,2016,Jul,36.2
Belize,2016,Aug,25.9
Belize,2016,Sep,18.1
Belize,2016,Oct,21.7
Belize,2016,Nov,29.5
Belize,2016,Dec,40.6
Belize,2017,Jan,38.5
Belize,2017,Feb,39.2
Belize,2017,Mar,44.5
Belize,2017,Apr,38.1
Belize,2017,May,32.1
Belize,2017,Jun,37.7
Belize,2017,Jul,38.6
Belize,2017,Aug,30.8
Belize,2017,Sep,19.5
Belize,2017,Oct,22.7
Belize,2017,Nov,36.2
Belize,2017,Dec,49.1
Belize,2018,Jan,48.7
Belize,2018,Feb,45.9
Belize,2018,Mar,54.3
Belize,2018,Apr,40.3
Belize,2018,May,35.7
Belize,2018,Jun,43.4
Belize,2018,Jul,46.3
Belize,2018,Aug,34.8
Belize,2018,Sep,21.5
Belize,2018,Oct,24.9
Belize,2018,Nov,38.8
Belize,2018,Dec,54.6
Belize,2019,Jan,50.6
Belize,2019,Feb,49.9
Belize,2019,Mar,57.9
Belize,2019,Apr,46.4
Belize,2019,May,36.7
Belize,2019,Jun,42.9
Belize,2019,Jul,45.2
Belize,2019,Aug,33.8
Belize,2019,Sep,19.6
Belize,2019,Oct,25.3
Belize,2019,Nov,39.0
Belize,2019,Dec,55.7
Belize,2020,Jan,48.6
Belize,2020,Feb,50.8
Belize,2020,Mar,24.0
Belize,2020,Apr,0.7
Belize,2020,May,0.5
Belize,2020,Jun,0.2
Belize,2020,Jul,0.6
Belize,2020,Aug,0.7
Belize,2020,Sep,0.8
Belize,2020,Oct,3.2
Belize,2020,Nov,4.9
Belize,2020,Dec,9.2
Belize,2021,Jan,6.9
Belize,2021,Feb,7.9
Belize,2021,Mar,15.4
Belize,2021,Apr,14.6
Belize,2021,May,20.8
Belize,2021,Jun,26.4
Belize,2021,Jul,27.7
Belize,2021,Aug,16.8
Belize,2021,Sep,11.7
Belize,2021,Oct,13.6
Belize,2021,Nov,22.8
Belize,2021,Dec,34.3
Belize,2022,Jan,25.7
Belize,2022,Feb,30.2
Belize,2022,Mar,41.9
Belize,2022,Apr,39.2
Belize,2022,May,33.0
Belize,2022,Jun,34.1
Belize,2022,Jul,37.1
Belize,2022,Aug,31.1
Belize,2022,Sep,17.8
Belize,2022,Oct,18.9
Belize,2022,Nov,25.6
Belize,2022,Dec,37.9
Belize,2023,Jan,42.4
Belize,2023,Feb,48.5
Belize,2023,Mar,52.4
Belize,2023,Apr,42.8
Belize,2023,May,32.9
Belize,2023,Jun,38.8
Belize,2023,Jul,43.1
Belize,2023,Aug,33.4
Belize,2023,Sep,19.8
Belize,2023,Oct,19.1
Belize,2023,Nov,35.8
Belize,2023,Dec,55.8
Belize,2024,Jan,55.7
Belize,2024,Feb,57.1
Belize,2024,Mar,66.8
Belize,2024,Apr,46.8
Belize,2024,May,44.3
Belize,2024,Jun,45.9
Belize,2024,Jul,43.3
Belize,2024,Aug,37.0
Belize,2024,Sep,22.8
Belize,2024,Oct,27.6
Belize,2024,Nov,43.0
Belize,2024,Dec,37.9
Belize,2025,Jan,59.6
Belize,2025,Feb,58.7
Belize,2025,Mar,64.7
Belize,2025,Apr,49.1
Belize,2025,May,41.1
Belize,2025,Jun,43.7
Belize,2025,Jul,47.4
Belize,2025,Aug,37.3
Belize,2025,Sep,20.8
Bermuda,2015,Feb,8.2
Bermuda,2015,Mar,14.0
Bermuda,2015,Apr,18.7
Bermuda,2015,May,24.5
Bermuda,2015,Jun,28.7
Bermuda,2015,Jul,30.8
Bermuda,2015,Aug,26.8
Bermuda,2015,Sep,18.9
Bermuda,2015,Oct,18.1
Bermuda,2015,Nov,13.2
Bermuda,2015,Dec,11.1
Bermuda,2016,Jan,6.7
Bermuda,2016,Feb,8.9
Bermuda,2016,Mar,16.3
Bermuda,2016,Apr,19.0
Bermuda,2016,May,25.5
Bermuda,2016,Jun,31.2
Bermuda,2016,Jul,33.4
Bermuda,2016,Aug,30.6
Bermuda,2016,Sep,22.9
