country,year,month,value
Kenya,2015,Feb,53.1
Kenya,2015,Mar,73.1
Kenya,2015,Apr,54.0
Kenya,2015,May,53.3
Kenya,2015,Jun,63.1
Kenya,2015,Jul,78.2
Kenya,2015,Aug,70.9
Kenya,2015,Sep,59.3
Kenya,2015,Oct,72.5
Kenya,2015,Nov,61.3
Kenya,2015,Dec,59.1
Kenya,2016,Jan,74.8
Kenya,2016,Feb,72.8
Kenya,2016,Mar,58.5
Kenya,2016,Apr,55.2
Kenya,2016,May,62.9
Kenya,2016,Jun,68.6
Kenya,2016,Jul,89.6
Kenya,2016,Aug,97.0
Kenya,2016,Sep,75.6
Kenya,2016,Oct,72.2
Kenya,2016,Nov,69.2
Kenya,2016,Dec,77.9
Kenya,2017,Jan,108.6
Kenya,2017,Feb,100.3
Kenya,2017,Mar,97.3
Kenya,2017,Apr,99.6
Kenya,2017,May,94.0
Kenya,2017,Jun,108.3
Kenya,2017,Jul,136.8
Kenya,2017,Aug,120.7
Kenya,2017,Sep,111.4
Kenya,2017,Oct,98.6
Kenya,2017,Nov,99.8
Kenya,2017,Dec,120.8
Kenya,2018,Jan,119.8
Kenya,2018,Feb,111.3
Kenya,2018,Mar,111.5
Kenya,2018,Apr,99.4
Kenya,2018,May,98.5
Kenya,2018,Jun,119.3
Kenya,2018,Jul,150.8
Kenya,2018,Aug,154.8
Kenya,2018,Sep,124.5
Kenya,2018,Oct,124.9
Kenya,2018,Nov,111.6
Kenya,2018,Dec,134.3
Kenya,2019,Jan,129.1
Kenya,2019,Feb,119.9
Kenya,2019,Mar,115.7
Kenya,2019,Apr,109.5
Kenya,2019,May,102.5
Kenya,2019,Jun,129.3
Kenya,2019,Jul,158.9
Kenya,2019,Aug,161.7
Kenya,2019,Sep,133.2
Kenya,2019,Oct,126.8
Kenya,2019,Nov,123.9
Kenya,2019,Dec,134.3
Kenya,2020,Jan,125.3
Kenya,2020,Feb,117.4
Kenya,2020,Mar,47.3
Kenya,2020,Apr,0.0
Kenya,2020,May,0.1
Kenya,2020,Jun,0.4
Kenya,2020,Jul,0.5
Kenya,2020,Aug,16.8
Kenya,2020,Sep,19.7
Kenya,2020,Oct,29.0
Kenya,2020,Nov,31.2
Kenya,2020,Dec,46.3
Kenya,2021,Jan,46.3
Kenya,2021,Feb,35.1
Kenya,2021,Mar,40.4
Kenya,2021,Apr,30.9
Kenya,2021,May,33.9
Kenya,2021,Jun,48.5
Kenya,2021,Jul,69.0
Kenya,2021,Aug,78.5
Kenya,2021,Sep,70.3
Kenya,2021,Oct,72.8
Kenya,2021,Nov,76.7
Kenya,2021,Dec,90.5
Kenya,2022,Jan,69.9
Kenya,2022,Feb,74.0
Kenya,2022,Mar,81.4
Kenya,2022,Apr,81.3
Kenya,2022,May,90.5
Kenya,2022,Jun,108.2
Kenya,2022,Jul,124.9
Kenya,2022,Aug,111.1
Kenya,2022,Sep,106.9
Kenya,2022,Oct,114.0
Kenya,2022,Nov,107.9
Kenya,2022,Dec,128.7
Kenya,2023,Jan,128.8
Kenya,2023,Feb,123.1
Kenya,2023,Mar,118.7
Kenya,2023,Apr,100.1
Kenya,2023,May,106.9
Kenya,2023,Jun,141.6
Kenya,2023,Jul,168.4
Kenya,2023,Aug,172.1
Kenya,2023,Sep,145.7
Kenya,2023,Oct,142.2
Kenya,2023,Nov,133.6
Kenya,2023,Dec,154.3
Kenya,2024,Jan,150.7
Kenya,2024,Feb,155.6
Kenya,2024,Mar,138.3
Kenya,2024,Apr,115.3
Kenya,2024,May,127.6
Kenya,2024,Jun,159.3
Kenya,2024,Jul,181.0
Kenya,2024,Aug,189.6
Kenya,2024,Sep,155.6
Kenya,2024,Oct,153.4
Kenya,2024,Nov,139.5
Kenya,2024,Dec,166.8
Kenya,2025,Jan,163.6
Kenya,2025,Feb,155.4
Kenya,2025,Mar,127.9
Kenya,2025,Apr,124.2
Kenya,2025,May,127.0
Kenya,2025,Jun,165.3
Kenya,2025,Jul,205.3
Korea (ROK),2015,Feb,1051.0
Korea (ROK),2015,Mar,1238.0
Korea (ROK),2015,Apr,1385.0
Korea (ROK),2015,May,1334.0
Korea (ROK),2015,Jun,750.9
Korea (ROK),2015,Jul,629.7
Korea (ROK),2015,Aug,1069.0
Korea (ROK),2015,Sep,1207.0
Korea (ROK),2015,Oct,1384.0
Korea (ROK),2015,Nov,1150.0
Korea (ROK),2015,Dec,1116.0
Korea (ROK),2016,Jan,1077.0
Korea (ROK),2016,Feb,1126.0
Korea (ROK),2016,Mar,1389.0
Korea (ROK),2016,Apr,1470.0
Korea (ROK),2016,May,1493.0
Korea (ROK),2016,Jun,1554.0
Korea (ROK),2016,Jul,1703.0
Korea (ROK),2016,Aug,1664.0
Korea (ROK),2016,Sep,1524.0
Korea (ROK),2016,Oct,1588.0
Korea (ROK),2016,Nov,1309.0
Korea (ROK),2016,Dec,1343.0
Korea (ROK),2017,Jan,1221.0
Korea (ROK),2017,Feb,1252.0
Korea (ROK),2017,Mar,1234.0
Korea (ROK),2017,Apr,1076.0
Korea (ROK),2017,May,977.9
Korea (ROK),2017,Jun,991.8
Korea (ROK),2017,Jul,1009.0
Korea (ROK),2017,Aug,1104.0
Korea (ROK),2017,Sep,1079.0
Korea (ROK),2017,Oct,1166.0
Korea (ROK),2017,Nov,1093.0
Korea (ROK),2017,Dec,1134.0
Korea (ROK),2018,Jan,956.0
Korea (ROK),2018,Feb,1045.0
Korea (ROK),2018,Mar,1366.0
Korea (ROK),2018,Apr,1332.0
Korea (ROK),2018,May,1238.0
Korea (ROK),2018,Jun,1282.0
Korea (ROK),2018,Jul,1255.0
Korea (ROK),2018,Aug,1392.0
Korea (ROK),2018,Sep,1279.0
Korea (ROK),2018,Oct,1528.0
Korea (ROK),2018,Nov,1350.0
Korea (ROK),2018,Dec,1324.0
Korea (ROK),2019,Jan,1105.0
Korea (ROK),2019,Feb,1202.0
Korea (ROK),2019,Mar,1536.0
Korea (ROK),2019,Apr,1635.0
Korea (ROK),2019,May,1486.0
Korea (ROK),2019,Jun,1476.0
Korea (ROK),2019,Jul,1448.0
Korea (ROK),2019,Aug,1586.0
Korea (ROK),2019,Sep,1460.0
Korea (ROK),2019,Oct,1656.0
Korea (ROK),2019,Nov,1456.0
Korea (ROK),2019,Dec,1457.0
Korea (ROK),2020,Jan,1273.0
Korea (ROK),2020,Feb,685.2
Korea (ROK),2020,Mar,83.5
Korea (ROK),2020,Apr,29.4
Korea (ROK),2020,May,30.8
Korea (ROK),2020,Jun,36.9
Korea (ROK),2020,Jul,61.0
Korea (ROK),2020,Aug,68.8
Korea (ROK),2020,Sep,65.0
Korea (ROK),2020,Oct,61.6
Korea (ROK),2020,Nov,61.8
Korea (ROK),2020,Dec,62.3
Korea (ROK),2021,Jan,58.4
Korea (ROK),2021,Feb,65.6
Korea (ROK),2021,Mar,74.6
Korea (ROK),2021,Apr,70.1
Korea (ROK),2021,May,74.5
Korea (ROK),2021,Jun,77.0
Korea (ROK),2021,Jul,83.0
Korea (ROK),2021,Aug,97.1
Korea (ROK),2021,Sep,89.8
Korea (ROK),2021,Oct,92.4
Korea (ROK),2021,Nov,94.4
Korea (ROK),2021,Dec,90.2
Korea (ROK),2022,Jan,81.9
Korea (ROK),2022,Feb,100.0
Korea (ROK),2022,Mar,96.8
Korea (ROK),2022,Apr,127.9
Korea (ROK),2022,May,175.9
Korea (ROK),2022,Jun,227.7
Korea (ROK),2022,Jul,264.0
Korea (ROK),2022,Aug,310.9
Korea (ROK),2022,Sep,337.6
Korea (ROK),2022,Oct,476.1
Korea (ROK),2022,Nov,459.9
Korea (ROK),2022,Dec,539.3
Korea (ROK),2023,Jan,434.4
Korea (ROK),2023,Feb,479.2
Korea (ROK),2023,Mar,800.6
Korea (ROK),2023,Apr,888.8
Korea (ROK),2023,May,867.1
Korea (ROK),2023,Jun,960.6
Korea (ROK),2023,Jul,1032.0
Korea (ROK),2023,Aug,1089.0
Korea (ROK),2023,Sep,1098.0
Korea (ROK),2023,Oct,1230.0
Korea (ROK),2023,Nov,1115.0
Korea (ROK),2023,Dec,1037.0
Korea (ROK),2024,Jan,880.9
Korea (ROK),2024,Feb,1030.0
Korea (ROK),2024,Mar,1492.0
Korea (ROK),2024,Apr,1463.0
Korea (ROK),2024,May,1418.0
Korea (ROK),2024,Jun,1417.0
Korea (ROK),2024,Jul,1408.0
Korea (ROK),2024,Aug,1563.0
Korea (ROK),2024,Sep,1464.0
Korea (ROK),2024,Oct,1600.0
Korea (ROK),2024,Nov,1361.0
Korea (ROK),2024,Dec,1271.0
Korea (ROK),2025,Jan,1117.0
Korea (ROK),2025,Feb,1138.0
Korea (ROK),2025,Mar,1615.0
Korea (ROK),2025,Apr,1707.0
Korea (ROK),2025,May,1629.0
Korea (ROK),2025,Jun,1619.0
Korea (ROK),2025,Jul,1733.0
Korea (ROK),2025,Aug,1820.0
Korea (ROK),2025,Sep,1703.0
Kuwait,2019,Jan,17.2
Kuwait,2019,Feb,12.1
Kuwait,2019,Mar,4.7
Kuwait,2019,Apr,11.6
Kuwait,2019,May,9.3
Kuwait,2019,Jun,12.7
Kuwait,2019,Jul,16.8
Kuwait,2019,Aug,16.5
Kuwait,2019,Sep,12.3
Kuwait,2019,Oct,11.8
Kuwait,2019,Nov,13.1
Kuwait,2019,Dec,14.4
Kuwait,2020,Jan,20.5
Kuwait,2020,Feb,16.7
Kuwait,2020,Mar,2.5
Kuwait,2020,Apr,0.5
Kuwait,2020,May,0.4
Kuwait,2020,Jun,0.7
Kuwait,2020,Jul,2.1
Kuwait,2020,Aug,8.2
Kuwait,2020,Sep,10.9
Kuwait,2020,Oct,11.0
Kuwait,2020,Nov,6.7
Kuwait,2020,Dec,6.3
Kuwait,2021,Jan,6.3
Kuwait,2021,Feb,6.1
Kuwait,2021,Mar,4.7
Kuwait,2021,Apr,4.6
Kuwait,2021,May,7.2
Kuwait,2021,Jun,8.7
Kuwait,2021,Jul,10.2
Kuwait,2021,Aug,8.9
Kuwait,2021,Sep,7.6
Kuwait,2021,Oct,7.2
Kuwait,2021,Nov,6.2
Kuwait,2021,Dec,7.4
Kuwait,2022,Jan,5.9
Kuwait,2022,Feb,6.9
Kuwait,2022,Mar,15.5
Kuwait,2022,Apr,3.4
Kuwait,2022,May,7.5
Kuwait,2022,Jun,7.3
Kuwait,2022,Jul,7.2
Kuwait,2022,Aug,6.6
Kuwait,2022,Sep,7.2
Kuwait,2022,Oct,6.5
Kuwait,2022,Nov,7.3
Kuwait,2022,Dec,7.4
Kuwait,2023,Jan,10.6
Kuwait,2023,Feb,9.9
Kuwait,2023,Mar,9.4
Kuwait,2023,Apr,6.6
Kuwait,2023,May,10.2
Kuwait,2023,Jun,12.7
Kuwait,2023,Jul,13.2
Kuwait,2023,Aug,12.2
Kuwait,2023,Sep,9.0
Kuwait,2023,Oct,8.1
Kuwait,2023,Nov,9.1
Kuwait,2023,Dec,11.3
Laos,2015,Feb,426.7
Laos,2015,Mar,421.8
Laos,2015,Apr,416.6
Laos,2015,May,325.1
Laos,2015,Jun,299.0
Laos,2015,Jul,337.8
