country,year,month,value
Chile,2015,Feb,432.4
Chile,2015,Mar,370.8
Chile,2015,Apr,313.4
Chile,2015,May,263.9
Chile,2015,Jun,284.0
Chile,2015,Jul,331.1
Chile,2015,Aug,294.7
Chile,2015,Sep,300.5
Chile,2015,Oct,360.3
Chile,2015,Nov,401.3
Chile,2015,Dec,565.3
Chile,2016,Jan,730.8
Chile,2016,Feb,599.4
Chile,2016,Mar,510.7
Chile,2016,Apr,374.2
Chile,2016,May,320.4
Chile,2016,Jun,301.8
Chile,2016,Jul,440.9
Chile,2016,Aug,370.8
Chile,2016,Sep,403.2
Chile,2016,Oct,456.3
Chile,2016,Nov,474.3
Chile,2016,Dec,657.8
Chile,2017,Jan,964.0
Chile,2017,Feb,709.0
Chile,2017,Mar,521.1
Chile,2017,Apr,469.6
Chile,2017,May,358.0
Chile,2017,Jun,322.6
Chile,2017,Jul,491.2
Chile,2017,Aug,480.2
Chile,2017,Sep,442.5
Chile,2017,Oct,481.8
Chile,2017,Nov,517.2
Chile,2017,Dec,692.7
Chile,2018,Jan,893.3
Chile,2018,Feb,683.0
Chile,2018,Mar,574.3
Chile,2018,Apr,436.3
Chile,2018,May,329.5
Chile,2018,Jun,281.4
Chile,2018,Jul,409.8
Chile,2018,Aug,372.4
Chile,2018,Sep,351.6
Chile,2018,Oct,369.4
Chile,2018,Nov,464.0
Chile,2018,Dec,557.9
Chile,2019,Jan,625.4
Chile,2019,Feb,436.8
Chile,2019,Mar,454.8
Chile,2019,Apr,377.7
Chile,2019,May,306.5
Chile,2019,Jun,300.0
Chile,2019,Jul,376.0
Chile,2019,Aug,322.9
Chile,2019,Sep,288.5
Chile,2019,Oct,306.1
Chile,2019,Nov,292.2
Chile,2019,Dec,431.1
Chile,2020,Jan,509.1
Chile,2020,Feb,399.8
Chile,2020,Mar,168.3
Chile,2020,Apr,0.0
Chile,2020,May,0.0
Chile,2020,Jun,0.0
Chile,2020,Jul,0.0
Chile,2020,Aug,0.0
Chile,2020,Sep,0.0
Chile,2020,Oct,0.0
Chile,2020,Nov,8.7
Chile,2020,Dec,33.3
Chile,2021,Jan,22.4
Chile,2021,Feb,20.5
Chile,2021,Mar,22.7
Chile,2021,Apr,0.0
Chile,2021,May,0.0
Chile,2021,Jun,0.0
Chile,2021,Jul,0.0
Chile,2021,Aug,0.0
Chile,2021,Sep,0.0
Chile,2021,Oct,16.4
Chile,2021,Nov,35.9
Chile,2021,Dec,72.1
Chile,2022,Jan,69.7
Chile,2022,Feb,70.3
Chile,2022,Mar,81.2
Chile,2022,Apr,95.7
Chile,2022,May,123.3
Chile,2022,Jun,127.1
Chile,2022,Jul,169.6
Chile,2022,Aug,174.1
Chile,2022,Sep,203.5
Chile,2022,Oct,254.8
Chile,2022,Nov,284.1
Chile,2022,Dec,376.9
Chile,2023,Jan,477.5
Chile,2023,Feb,351.8
Chile,2023,Mar,307.7
Chile,2023,Apr,268.6
Chile,2023,May,224.4
Chile,2023,Jun,202.7
Chile,2023,Jul,267.8
Chile,2023,Aug,256.1
Chile,2023,Sep,255.7
Chile,2023,Oct,330.7
Chile,2023,Nov,347.8
Chile,2023,Dec,439.6
Chile,2024,Jan,506.2
Chile,2024,Feb,419.2
Chile,2024,Mar,451.2
Chile,2024,Apr,395.6
Chile,2024,May,335.4
Chile,2024,Jun,281.8
Chile,2024,Jul,460.3
Chile,2024,Aug,398.0
Chile,2024,Sep,381.7
Chile,2024,Oct,456.6
Chile,2024,Nov,505.6
Chile,2024,Dec,647.7
Chile,2025,Jan,846.8
