country,year,month,value
Netherlands,2015,Feb,830.0
Netherlands,2015,Mar,996.0
Netherlands,2015,Apr,1549.0
Netherlands,2015,May,1494.0
Netherlands,2015,Jun,1387.0
Netherlands,2015,Jul,1684.0
Netherlands,2015,Aug,1750.0
Netherlands,2015,Sep,1310.0
Netherlands,2015,Oct,1354.0
Netherlands,2015,Nov,1041.0
Netherlands,2015,Dec,849.0
Netherlands,2016,Jan,865.0
Netherlands,2016,Feb,948.0
Netherlands,2016,Mar,1220.0
Netherlands,2016,Apr,1439.0
Netherlands,2016,May,1637.0
Netherlands,2016,Jun,1348.0
Netherlands,2016,Jul,1730.0
Netherlands,2016,Aug,1747.0
Netherlands,2016,Sep,1406.0
Netherlands,2016,Oct,1483.0
Netherlands,2016,Nov,1073.0
Netherlands,2016,Dec,932.0
Netherlands,2017,Jan,953.0
Netherlands,2017,Feb,988.0
Netherlands,2017,Mar,1226.0
Netherlands,2017,Apr,1910.0
Netherlands,2017,May,1678.0
Netherlands,2017,Jun,1787.0
Netherlands,2017,Jul,1966.0
Netherlands,2017,Aug,1910.0
Netherlands,2017,Sep,1543.0
Netherlands,2017,Oct,1646.0
Netherlands,2017,Nov,1236.0
Netherlands,2017,Dec,1081.0
Netherlands,2018,Jan,1052.0
Netherlands,2018,Feb,1073.0
Netherlands,2018,Mar,1401.0
Netherlands,2018,Apr,1834.0
Netherlands,2018,May,1882.0
Netherlands,2018,Jun,1717.0
Netherlands,2018,Jul,2089.0
Netherlands,2018,Aug,2052.0
Netherlands,2018,Sep,1626.0
Netherlands,2018,Oct,1689.0
Netherlands,2018,Nov,1286.0
Netherlands,2018,Dec,1080.0
Netherlands,2019,Jan,1082.0
Netherlands,2019,Feb,1133.0
Netherlands,2019,Mar,1465.0
Netherlands,2019,Apr,2175.0
Netherlands,2019,May,1721.0
Netherlands,2019,Jun,2042.0
Netherlands,2019,Jul,2190.0
Netherlands,2019,Aug,2170.0
Netherlands,2019,Sep,1700.0
Netherlands,2019,Oct,1843.0
Netherlands,2019,Nov,1422.0
Netherlands,2019,Dec,1185.0
Netherlands,2020,Jan,1134.0
Netherlands,2020,Feb,1165.0
