country,year,month,value
Solomon Islands,2015,Feb,1.5
Solomon Islands,2015,Mar,1.7
Solomon Islands,2015,Apr,1.8
Solomon Islands,2015,May,1.7
Solomon Islands,2015,Jun,2.1
Solomon Islands,2015,Jul,2.1
Solomon Islands,2015,Aug,1.4
Solomon Islands,2015,Sep,2.2
Solomon Islands,2015,Oct,1.7
Solomon Islands,2015,Nov,2.1
Solomon Islands,2015,Dec,2.1
Solomon Islands,2016,Jan,1.7
Solomon Islands,2016,Feb,1.7
Solomon Islands,2016,Mar,1.7
Solomon Islands,2016,Apr,1.8
Solomon Islands,2016,May,1.9
Solomon Islands,2016,Jun,2.0
Solomon Islands,2016,Jul,2.3
Solomon Islands,2016,Aug,1.9
Solomon Islands,2016,Sep,1.4
Solomon Islands,2016,Oct,2.3
Solomon Islands,2016,Nov,0.7
Solomon Islands,2016,Dec,2.4
Solomon Islands,2017,Jan,1.5
Solomon Islands,2017,Feb,1.6
Solomon Islands,2017,Mar,1.7
Solomon Islands,2017,Apr,2.0
Solomon Islands,2017,May,1.9
Solomon Islands,2017,Jun,2.6
Solomon Islands,2017,Jul,2.3
Solomon Islands,2017,Aug,2.6
Solomon Islands,2017,Sep,2.4
Solomon Islands,2017,Oct,2.5
Solomon Islands,2017,Nov,2.3
Solomon Islands,2017,Dec,2.3
Solomon Islands,2018,Jan,2.1
Solomon Islands,2018,Feb,1.9
Solomon Islands,2018,Mar,2.4
Solomon Islands,2018,Apr,2.3
Solomon Islands,2018,May,2.0
Solomon Islands,2018,Jun,2.8
Solomon Islands,2018,Jul,2.9
Solomon Islands,2018,Aug,2.3
Solomon Islands,2018,Sep,2.7
Solomon Islands,2018,Oct,2.4
Solomon Islands,2018,Nov,2.0
Solomon Islands,2018,Dec,2.3
Solomon Islands,2019,Jan,1.8
Solomon Islands,2019,Feb,1.9
Solomon Islands,2019,Mar,2.4
Solomon Islands,2019,Apr,2.1
Solomon Islands,2019,May,2.4
Solomon Islands,2019,Jun,2.5
Solomon Islands,2019,Jul,2.5
Solomon Islands,2019,Aug,2.5
Solomon Islands,2019,Sep,2.7
Solomon Islands,2019,Oct,2.8
Solomon Islands,2019,Nov,2.3
Solomon Islands,2019,Dec,3.1
Solomon Islands,2020,Jan,1.9
Solomon Islands,2020,Feb,1.5
Solomon Islands,2020,Mar,0.8
Solomon Islands,2020,Apr,0.0
Solomon Islands,2020,May,0.0
Solomon Islands,2020,Jun,0.0
Solomon Islands,2020,Jul,0.1
Solomon Islands,2020,Aug,0.0
Solomon Islands,2020,Sep,0.1
Solomon Islands,2020,Oct,0.1
Solomon Islands,2020,Nov,0.0
Solomon Islands,2020,Dec,0.0
Solomon Islands,2021,Jan,0.0
Solomon Islands,2021,Feb,0.1
Solomon Islands,2021,Mar,0.0
Solomon Islands,2021,Apr,0.1
Solomon Islands,2021,May,0.1
Solomon Islands,2021,Jun,0.0
Solomon Islands,2021,Jul,0.0
Solomon Islands,2021,Aug,0.0
Solomon Islands,2021,Sep,0.0
Solomon Islands,2021,Oct,0.0
Solomon Islands,2021,Nov,0.2
Solomon Islands,2021,Dec,0.1
Solomon Islands,2022,Jan,0.0
Solomon Islands,2022,Feb,0.1
Solomon Islands,2022,Mar,0.1
Solomon Islands,2022,Apr,0.2
Solomon Islands,2022,May,0.1
Solomon Islands,2022,Jun,0.1
Solomon Islands,2022,Jul,0.5
Solomon Islands,2022,Aug,1.0
Solomon Islands,2022,Sep,1.0
Solomon Islands,2022,Oct,1.4
Solomon Islands,2022,Nov,1.4
Solomon Islands,2022,Dec,1.4
Solomon Islands,2023,Jan,1.2
Solomon Islands,2023,Feb,1.2
Solomon Islands,2023,Mar,1.5
Solomon Islands,2023,Apr,1.6
Solomon Islands,2023,May,1.5
Solomon Islands,2023,Jun,1.9
Solomon Islands,2023,Jul,1.9
Solomon Islands,2023,Aug,1.9
Solomon Islands,2023,Sep,1.8
Solomon Islands,2023,Oct,2.1
Solomon Islands,2023,Nov,7.5
Solomon Islands,2023,Dec,1.9
Solomon Islands,2024,Jan,1.3
Solomon Islands,2024,Feb,1.5
Solomon Islands,2024,Mar,2.0
Solomon Islands,2024,Apr,2.2
Solomon Islands,2024,May,2.0
Solomon Islands,2024,Jun,2.3
Solomon Islands,2024,Jul,2.2
Solomon Islands,2024,Aug,2.5
Solomon Islands,2024,Sep,2.2
Solomon Islands,2024,Oct,2.4
Solomon Islands,2024,Nov,2.2
Solomon Islands,2024,Dec,2.3
South Africa,2015,Feb,681.2
South Africa,2015,Mar,733.2
South Africa,2015,Apr,719.6
South Africa,2015,May,685.4
South Africa,2015,Jun,610.1
South Africa,2015,Jul,732.9
South Africa,2015,Aug,731.2
South Africa,2015,Sep,716.8
South Africa,2015,Oct,748.6
South Africa,2015,Nov,774.4
South Africa,2015,Dec,892.7
South Africa,2016,Jan,1013.0
South Africa,2016,Feb,803.8
South Africa,2016,Mar,904.6
South Africa,2016,Apr,795.9
South Africa,2016,May,760.7
South Africa,2016,Jun,691.4
South Africa,2016,Jul,822.4
South Africa,2016,Aug,833.6
South Africa,2016,Sep,793.6
South Africa,2016,Oct,851.0
South Africa,2016,Nov,809.3
South Africa,2016,Dec,965.1
South Africa,2017,Jan,1041.0
South Africa,2017,Feb,775.8
South Africa,2017,Mar,805.9
South Africa,2017,Apr,919.1
South Africa,2017,May,767.1
South Africa,2017,Jun,709.0
South Africa,2017,Jul,861.7
South Africa,2017,Aug,852.3
South Africa,2017,Sep,833.1
South Africa,2017,Oct,880.2
South Africa,2017,Nov,849.0
South Africa,2017,Dec,991.6
South Africa,2018,Jan,1104.0
South Africa,2018,Feb,802.3
South Africa,2018,Mar,882.7
South Africa,2018,Apr,866.9
South Africa,2018,May,767.3
South Africa,2018,Jun,729.4
South Africa,2018,Jul,855.9
South Africa,2018,Aug,876.9
South Africa,2018,Sep,842.4
South Africa,2018,Oct,862.0
South Africa,2018,Nov,875.2
South Africa,2018,Dec,1007.0
South Africa,2019,Jan,1068.0
South Africa,2019,Feb,797.2
South Africa,2019,Mar,838.7
South Africa,2019,Apr,903.1
South Africa,2019,May,753.5
South Africa,2019,Jun,734.6
South Africa,2019,Jul,790.2
South Africa,2019,Aug,897.0
South Africa,2019,Sep,780.4
South Africa,2019,Oct,834.3
South Africa,2019,Nov,850.5
South Africa,2019,Dec,981.0
South Africa,2020,Jan,1093.0
South Africa,2020,Feb,800.8
South Africa,2020,Mar,535.1
South Africa,2020,Apr,0.0
South Africa,2020,May,0.0
South Africa,2020,Jun,0.0
South Africa,2020,Jul,0.0
South Africa,2020,Aug,0.0
South Africa,2020,Sep,0.0
South Africa,2020,Oct,74.0
South Africa,2020,Nov,101.1
South Africa,2020,Dec,198.1
South Africa,2021,Jan,139.1
South Africa,2021,Feb,90.2
South Africa,2021,Mar,157.6
South Africa,2021,Apr,177.3
South Africa,2021,May,183.3
South Africa,2021,Jun,178.7
South Africa,2021,Jul,151.3
South Africa,2021,Aug,185.6
South Africa,2021,Sep,205.9
South Africa,2021,Oct,247.8
South Africa,2021,Nov,275.6
South Africa,2021,Dec,263.1
South Africa,2022,Jan,377.7
South Africa,2022,Feb,310.2
South Africa,2022,Mar,359.7
South Africa,2022,Apr,431.4
South Africa,2022,May,407.3
South Africa,2022,Jun,399.6
South Africa,2022,Jul,507.8
South Africa,2022,Aug,555.8
South Africa,2022,Sep,539.2
South Africa,2022,Oct,565.9
South Africa,2022,Nov,565.8
South Africa,2022,Dec,677.8
South Africa,2023,Jan,849.7
South Africa,2023,Feb,613.4
South Africa,2023,Mar,658.7
South Africa,2023,Apr,713.5
South Africa,2023,May,630.1
South Africa,2023,Jun,608.3
South Africa,2023,Jul,692.1
South Africa,2023,Aug,708.2
South Africa,2023,Sep,684.2
South Africa,2023,Oct,731.1
South Africa,2023,Nov,731.7
South Africa,2023,Dec,862.5
South Africa,2024,Jan,971.8
South Africa,2024,Feb,725.7
South Africa,2024,Mar,751.0
South Africa,2024,Apr,702.0
South Africa,2024,May,649.5
South Africa,2024,Jun,641.3
South Africa,2024,Jul,699.6
South Africa,2024,Aug,718.5
South Africa,2024,Sep,666.7
South Africa,2024,Oct,705.3
South Africa,2024,Nov,767.9
South Africa,2024,Dec,920.1
South Africa,2025,Jan,1014.0
South Africa,2025,Feb,764.1
South Africa,2025,Mar,810.4
South Africa,2025,Apr,827.9
South Africa,2025,May,804.2
South Africa,2025,Jun,750.2
South Africa,2025,Jul,881.4
South Africa,2025,Aug,935.7
South Africa,2025,Sep,846.4
Spain,2015,Feb,3234.0
Spain,2015,Mar,3984.0
Spain,2015,Apr,5470.0
Spain,2015,May,6624.0
Spain,2015,Jun,6703.0
Spain,2015,Jul,8737.0
Spain,2015,Aug,9478.0
Spain,2015,Sep,7195.0
Spain,2015,Oct,6432.0
Spain,2015,Nov,3755.0
Spain,2015,Dec,3513.0
Spain,2016,Jan,3527.0
Spain,2016,Feb,3679.0
Spain,2016,Mar,4627.0
Spain,2016,Apr,6086.0
Spain,2016,May,7111.0
Spain,2016,Jun,7553.0
Spain,2016,Jul,9546.0
Spain,2016,Aug,10027.0
Spain,2016,Sep,7933.0
Spain,2016,Oct,7138.0
Spain,2016,Nov,4098.0
Spain,2016,Dec,3990.0
Spain,2017,Jan,3906.0
Spain,2017,Feb,4119.0
Spain,2017,Mar,4914.0
