시점,지수(=100×비율)
2009,82.76
2010,100.0
2011,103.03
2012,109.03
2013,101.69
2014,89.64
2015,62.78
2016,62.26
2017,87.04
2018,87.1
2019,91.69
2020,81.49
2021,122.6
2022,98.67
2023,82.38
