시점,SUM(데이터)
2011,59.0
2012,57.400000000000006
2013,49.400000000000006
2014,34.8
2015,38.5
2016,39.3
2017,44.1
2018,73.69999999999999
2019,141.9
2020,110.3
2021,106.80000000000001
2022,186.39999999999998
2023,288.9
2024,138.5
