시점,SUM(데이터)
2009,682022.0
2010,807218.0
2011,843855.0
2012,902293.0
2013,865445.0
2014,807164.0
2015,641240.0
2016,614100.0
2017,793010.0
2018,841084.0
2019,866732.0
2020,809514.0
2021,1099360.0
2022,1009886.0
2023,1002598.0
2024,976697.0
