시점,SUM(데이터)
2009,520204.0
2010,628568.0
2011,647613.0
2012,685305.0
2013,639160.0
2014,563431.0
2015,394623.0
2016,391343.0
2017,547131.0
2018,547510.0
2019,576345.0
2020,512246.0
2021,770596.0
2022,620199.0
2023,517824.0
