시점,사료제외,사료포함
2010,54.1,27.6
2011,45.2,24.3
2012,45.7,23.7
2013,47.5,23.3
2014,49.7,24.0
2015,50.2,23.9
2016,50.8,23.7
2017,48.7,23.4
2018,46.9,21.8
2019,45.8,21.0
2020,45.8,20.2
2021,40.3,18.4
2022,46.1,20.2
2023,45.5,19.9
