Year,Production,Domestic supply quantity,Export_minus_Import,Stock Variation
2014,139,1425,-1261,-24
2015,104,1340,-1315,78
2016,75,1458,-1325,-58
2017,86,1423,-1285,-53
2018,89,1281,-1239,47
2019,105,1366,-1263,2
2020,81,1378,-1326,30
2021,111,1400,-1265,-24
2022,130,1377,-1302,55
2023,141,1369,-1202,-26
