importer,exporter,value
Lebanon,India,2.75
Sri Lanka,"China, mainland",2.73
Trinidad and Tobago,"China, mainland",2.71
Luxembourg,Netherlands (Kingdom of the),2.7
Chile,Peru,2.7
Sweden,Iran (Islamic Republic of),2.69
Jordan,Japan,2.69
Denmark,Poland,2.67
New Zealand,India,2.64
Chile,Netherlands (Kingdom of the),2.64
Netherlands (Kingdom of the),Luxembourg,2.62
Italy,Denmark,2.62
French Polynesia,United States of America,2.6
Austria,Spain,2.59
Denmark,India,2.53
Maldives,India,2.52
Germany,Sri Lanka,2.52
Croatia,Netherlands (Kingdom of the),2.48
Pakistan,Iran (Islamic Republic of),2.48
France,Japan,2.47
Gabon,"China, mainland",2.45
Germany,Republic of Korea,2.44
Estonia,Denmark,2.44
Malaysia,Myanmar,2.4
Côte d'Ivoire,Lebanon,2.37
Bahrain,"China, mainland",2.34
Japan,Nepal,2.33
Morocco,"China, mainland",2.26
Canada,France,2.25
Georgia,Türkiye,2.25
Philippines,Japan,2.25
Netherlands (Kingdom of the),Paraguay,2.23
France,Mauritius,2.23
United States of America,Japan,2.21
Mauritius,Malta,2.18
Cyprus,Netherlands (Kingdom of the),2.15
Chile,Italy,2.13
"China, Macao SAR",Japan,2.12
"China, Hong Kong SAR","China, Macao SAR",2.1
Kazakhstan,Kyrgyzstan,2.1
Ethiopia,Zimbabwe,2.1
Cyprus,Italy,2.04
Barbados,Canada,2.04
Netherlands (Kingdom of the),Croatia,2.03
Norway,Sweden,2.03
Bulgaria,Serbia,2.0
"China, Hong Kong SAR",Thailand,2.0
French Polynesia,France,2.0
"China, Taiwan Province of",Viet Nam,2.0
Azerbaijan,India,1.99
Norway,Viet Nam,1.94
Republic of Moldova,Romania,1.92
Netherlands (Kingdom of the),Switzerland,1.89
Fiji,"China, mainland",1.88
Italy,Nepal,1.84
Argentina,Canada,1.82
Kuwait,Japan,1.76
Norway,Italy,1.75
Netherlands (Kingdom of the),"China, Taiwan Province of",1.75
Malaysia,Japan,1.71
North Macedonia,"China, mainland",1.7
Singapore,Spain,1.7
Bulgaria,France,1.66
Canada,Thailand,1.65
Greece,India,1.64
North Macedonia,Austria,1.62
United Arab Emirates,Japan,1.53
Greece,France,1.5
Türkiye,Austria,1.43
Belize,United States of America,1.42
France,Thailand,1.4
Estonia,Germany,1.38
Norway,Germany,1.38
Belgium,Nepal,1.35
Türkiye,Republic of Moldova,1.34
Lithuania,Germany,1.34
Ukraine,Czechia,1.31
Canada,Iran (Islamic Republic of),1.31
United Kingdom of Great Britain and Northern Ireland,Cameroon,1.3
Kyrgyzstan,"China, mainland",1.3
Czechia,Belarus,1.29
Canada,Algeria,1.28
Estonia,Finland,1.24
Kazakhstan,Czechia,1.24
Georgia,Austria,1.23
Netherlands (Kingdom of the),Thailand,1.22
New Zealand,France,1.22
South Africa,Lesotho,1.2
Kazakhstan,Canada,1.2
Dominican Republic,Brazil,1.2
Spain,Peru,1.19
Canada,Mexico,1.19
Canada,Viet Nam,1.17
Bahrain,"China, Taiwan Province of",1.16
Slovakia,Italy,1.11
Indonesia,Japan,1.06
South Africa,Rwanda,1.06
South Africa,Eswatini,1.05
Portugal,Belgium,1.05
Kuwait,Slovakia,1.05
Armenia,India,1.05
Germany,Argentina,1.04
Iceland,Denmark,1.02
Canada,Nepal,1.02
French Polynesia,Canada,1.01
North Macedonia,Serbia,1.0
Bosnia and Herzegovina,Canada,1.0
Japan,Viet Nam,1.0
Portugal,United Arab Emirates,1.0
Côte d'Ivoire,France,0.98
Iceland,"China, Taiwan Province of",0.96
Mozambique,India,0.95
Netherlands (Kingdom of the),South Africa,0.94
Cabo Verde,Portugal,0.94
"China, Macao SAR",India,0.93
"China, Macao SAR",United States of America,0.93
France,Switzerland,0.93
"China, Macao SAR","China, Hong Kong SAR",0.93
Netherlands (Kingdom of the),Peru,0.92
Germany,Thailand,0.9
Netherlands (Kingdom of the),Kenya,0.88
Netherlands (Kingdom of the),Kazakhstan,0.88
Cyprus,United Kingdom of Great Britain and Northern Ireland,0.86
Germany,Paraguay,0.86
Lebanon,Italy,0.83
Chile,"China, Taiwan Province of",0.82
Uruguay,Paraguay,0.81
Iceland,United Kingdom of Great Britain and Northern Ireland,0.81
Luxembourg,Spain,0.8
Denmark,Finland,0.8
Mozambique,Portugal,0.8
Montenegro,"China, mainland",0.79
Estonia,Poland,0.78
Ireland,Germany,0.76
Bahrain,Madagascar,0.75
Uzbekistan,"China, mainland",0.75
Iceland,Italy,0.75
Seychelles,"China, mainland",0.74
Denmark,Czechia,0.72
Malta,"China, mainland",0.72
Armenia,"China, mainland",0.72
France,Croatia,0.71
Rwanda,"China, mainland",0.7
