importer,exporter,value
Rwanda,United Republic of Tanzania,10381.11
Poland,Canada,10309.33
Italy,Hungary,10255.64
Uzbekistan,Ukraine,10209.1
Bosnia and Herzegovina,Croatia,10068.05
Republic of Korea,Russian Federation,9686.0
United Kingdom of Great Britain and Northern Ireland,Belgium,9681.37
Hungary,Austria,9245.69
Türkiye,Ghana,8825.65
Mozambique,Pakistan,8749.08
Austria,Germany,8701.35
"China, mainland",Ethiopia,8630.0
Israel,Ukraine,8488.07
Portugal,Spain,8414.66
Croatia,Italy,8368.31
Germany,France,8237.16
India,Djibouti,8100.0
Ireland,United States of America,8083.85
Paraguay,Argentina,8020.65
Poland,Germany,7920.04
Slovakia,Austria,7806.3
Chile,United States of America,7790.13
Peru,Argentina,7718.67
Sweden,Kazakhstan,7540.01
Canada,Türkiye,7350.09
United States of America,Uruguay,7293.41
United Arab Emirates,Paraguay,7200.0
Netherlands (Kingdom of the),France,7183.64
Italy,Slovakia,7107.5
Türkiye,India,6935.64
Uruguay,Argentina,6783.09
Pakistan,Argentina,6750.0
India,Sudan,6608.23
Hungary,Poland,6527.4
France,Burkina Faso,6331.28
Serbia,Romania,6269.49
Israel,"China, mainland",6190.36
Malaysia,Australia,6114.44
Finland,Poland,6085.27
Romania,Netherlands (Kingdom of the),5905.27
"China, Taiwan Province of","China, mainland",5826.0
Austria,Togo,5763.65
Germany,Serbia,5636.02
Sweden,Denmark,5508.12
Cambodia,United States of America,5368.69
Canada,Nigeria,5257.47
Türkiye,Russian Federation,5246.6
Singapore,Malaysia,5214.85
Indonesia,Malaysia,5208.32
India,Ghana,5186.74
France,Spain,5120.02
Belgium,Hungary,5084.19
Belgium,"China, mainland",4954.08
Denmark,Netherlands (Kingdom of the),4848.31
Slovakia,Hungary,4837.46
Italy,Germany,4834.93
Denmark,France,4706.35
India,Niger,4648.65
Türkiye,"China, mainland",4575.14
Croatia,Slovenia,4553.31
United Republic of Tanzania,Malawi,4458.0
South Africa,Zambia,4330.0
Poland,Belgium,4260.11
Denmark,Luxembourg,4216.85
Republic of Korea,Australia,4150.92
Romania,Hungary,4150.84
United States of America,Mexico,4093.69
Austria,Netherlands (Kingdom of the),4092.1
Slovenia,Croatia,4078.8
Canada,Benin,4036.21
Germany,"China, mainland",4029.16
United Kingdom of Great Britain and Northern Ireland,"China, mainland",4004.53
Latvia,Kazakhstan,3991.0
Uzbekistan,Russian Federation,3963.6
Zimbabwe,Zambia,3873.92
France,Italy,3806.17
Netherlands (Kingdom of the),Italy,3805.79
Czechia,Austria,3765.24
Austria,Czechia,3727.91
Denmark,Slovenia,3698.26
Belgium,Benin,3693.8
India,Singapore,3667.83
Sri Lanka,India,3583.76
Netherlands (Kingdom of the),"China, mainland",3546.96
Germany,Belgium,3490.17
United States of America,Chile,3438.52
Switzerland,Austria,3430.21
Bolivia (Plurinational State of),Argentina,3411.68
Norway,Poland,3402.06
Austria,Serbia,3388.06
Egypt,Sudan,3378.49
Switzerland,France,3358.8
Canada,"China, mainland",3348.83
Botswana,Zambia,3299.42
Switzerland,Ukraine,3272.38
Croatia,Austria,3266.41
Paraguay,Brazil,3134.28
Denmark,Germany,3080.25
Czechia,Slovakia,2962.72
United States of America,"China, mainland",2909.16
Israel,United States of America,2893.32
Hungary,Croatia,2889.81
Singapore,United States of America,2831.38
Finland,Germany,2791.17
Austria,Poland,2757.76
Italy,Netherlands (Kingdom of the),2717.64
Belgium,Austria,2690.97
Nepal,India,2688.69
United Republic of Tanzania,Zambia,2653.0
Slovenia,Bosnia and Herzegovina,2460.84
"China, Hong Kong SAR","China, mainland",2440.61
Japan,Russian Federation,2405.0
Denmark,Italy,2397.76
Finland,United States of America,2321.97
Czechia,Ukraine,2246.37
Mozambique,South Africa,2223.73
"China, Taiwan Province of",Australia,2201.0
Romania,Republic of Moldova,2200.06
Romania,Italy,2138.33
Serbia,Ukraine,2094.34
Hungary,Slovenia,2068.33
Slovakia,Poland,2065.58
Malaysia,"China, mainland",2047.33
Spain,"China, mainland",2042.41
Timor-Leste,Indonesia,1997.91
India,Nigeria,1988.5
Togo,Ghana,1984.15
France,Austria,1968.71
Türkiye,Nigeria,1968.09
Sweden,Italy,1924.16
Belgium,Italy,1917.43
Slovakia,Czechia,1867.64
Belgium,Ukraine,1846.71
"China, Taiwan Province of",France,1832.0
Netherlands (Kingdom of the),Austria,1793.59
Czechia,Netherlands (Kingdom of the),1790.12
Denmark,"China, mainland",1764.79
Thailand,Cambodia,1750.0
Azerbaijan,Argentina,1731.34
Netherlands (Kingdom of the),Hungary,1712.63
Italy,Burkina Faso,1710.02
Australia,"China, mainland",1638.05
Mozambique,Zimbabwe,1638.0
Canada,Argentina,1564.42
Finland,Austria,1545.31
Angola,Brazil,1529.83
Armenia,Ukraine,1525.32
Slovakia,Germany,1524.1
Germany,Cyprus,1519.0
Canada,South Africa,1510.24
Canada,Uganda,1483.34
France,Germany,1471.99
Italy,"China, mainland",1469.83
India,Switzerland,1456.87
Bulgaria,Ukraine,1441.18
New Zealand,Canada,1377.6
Germany,Canada,1366.65
Belgium,India,1334.73
France,Netherlands (Kingdom of the),1334.08
Pakistan,Canada,1328.76
Germany,Luxembourg,1303.4
Myanmar,Canada,1287.0
India,Malawi,1266.7
Croatia,Hungary,1263.26
Canada,United Republic of Tanzania,1260.0
Gabon,Belgium,1242.0
"China, mainland",Kazakhstan,1194.82
Kenya,United Republic of Tanzania,1180.0
Czechia,Poland,1147.54
Argentina,United States of America,1146.25
Sweden,"China, mainland",1141.68
Romania,Austria,1135.71
Canada,Ghana,1104.35
Australia,United States of America,1100.0
Romania,Bulgaria,1095.22
Rwanda,Ukraine,1050.12
United States of America,United Republic of Tanzania,1050.0
Romania,Serbia,1028.1
Switzerland,Germany,991.7
France,"China, mainland",991.6
Switzerland,Italy,977.38
Ireland,United Kingdom of Great Britain and Northern Ireland,967.93
Serbia,Bosnia and Herzegovina,961.9
Cambodia,Canada,945.53
Senegal,United States of America,927.62
Italy,Ghana,915.01
Iceland,Germany,900.01
New Zealand,Australia,877.29
Croatia,Serbia,866.49
Canada,"China, Taiwan Province of",863.74
Italy,Bosnia and Herzegovina,841.38
Morocco,Canada,837.8
Canada,Ukraine,825.52
Hungary,Bosnia and Herzegovina,824.18
Thailand,France,819.83
Montenegro,Bosnia and Herzegovina,817.39
India,Zambia,801.35
Slovenia,Austria,800.05
United Kingdom of Great Britain and Northern Ireland,France,790.72
Germany,Denmark,785.33
Netherlands (Kingdom of the),Denmark,773.26
Canada,Bosnia and Herzegovina,759.06
Italy,Czechia,730.81
Poland,Hungary,728.45
Philippines,"China, mainland",726.68
Zambia,Zimbabwe,710.1
Pakistan,Belize,700.0
Czechia,Canada,692.66
Spain,Togo,677.14
Brazil,Argentina,675.42
Spain,Italy,660.68
Spain,Ethiopia,659.7
Bosnia and Herzegovina,Serbia,628.43
United Arab Emirates,India,620.09
Hungary,Netherlands (Kingdom of the),613.54
Austria,France,613.3
Slovakia,Serbia,593.91
Slovenia,Italy,579.51
"China, Macao SAR",Canada,577.62
Poland,Netherlands (Kingdom of the),577.33
Portugal,France,575.51
Italy,Belgium,571.76
Mozambique,Malawi,565.06
Spain,Netherlands (Kingdom of the),561.41
India,United States of America,559.76
Switzerland,Belgium,558.55
Romania,Estonia,550.88
Germany,Burkina Faso,546.55
Uruguay,Bolivia (Plurinational State of),540.0
Netherlands (Kingdom of the),Poland,535.83
United Arab Emirates,Ethiopia,530.11
Italy,Serbia,528.75
France,Uganda,528.0
Cambodia,Thailand,526.0
Austria,Bosnia and Herzegovina,512.88
Nepal,Ukraine,511.15
Bulgaria,United States of America,506.39
Indonesia,Australia,500.08
United States of America,Paraguay,500.0
Belgium,Germany,468.82
Greece,Bulgaria,466.63
Finland,Canada,460.4
United Arab Emirates,Canada,454.57
Slovakia,Netherlands (Kingdom of the),445.76
France,Romania,445.46
Poland,Austria,428.94
"China, Hong Kong SAR",Russian Federation,426.0
Canada,Singapore,417.13
Senegal,France,414.1
Bulgaria,Romania,400.94
Norway,"China, mainland",399.26
Germany,Lithuania,393.64
Ukraine,Poland,386.85
Türkiye,Hungary,379.66
Thailand,Russian Federation,374.75
Sweden,Germany,365.23
United Kingdom of Great Britain and Northern Ireland,Italy,363.75
Nepal,Mozambique,350.0
Nepal,Myanmar,345.0
India,Myanmar,345.0
Brunei Darussalam,Canada,340.34
Brunei Darussalam,"China, mainland",340.0
Mongolia,Russian Federation,332.2
Slovenia,Poland,330.67
"China, Hong Kong SAR",United States of America,328.31
Uzbekistan,Türkiye,324.15
Guatemala,Honduras,319.41
United Arab Emirates,United States of America,315.49
Romania,Slovakia,311.33
Kazakhstan,Ukraine,309.8
Canada,Chile,309.26
Spain,Luxembourg,308.0
Poland,Slovakia,305.18
Canada,Paraguay,300.0
Netherlands (Kingdom of the),Republic of Moldova,290.0
Kazakhstan,"China, mainland",284.73
Netherlands (Kingdom of the),Indonesia,284.23
Portugal,Italy,267.04
United States of America,Ethiopia,265.32
Netherlands (Kingdom of the),Uganda,264.45
Indonesia,"China, mainland",262.29
Netherlands (Kingdom of the),Benin,259.15
Belgium,Slovakia,248.39
Switzerland,Canada,246.89
Portugal,Romania,246.5
Slovakia,Canada,245.73
Slovakia,Sweden,244.73
United States of America,"China, Taiwan Province of",244.36
Slovenia,Serbia,241.4
Hungary,France,238.38
Jordan,United States of America,236.91
Belgium,Poland,236.66
Spain,Romania,227.1
Canada,Tonga,220.69
United States of America,Sri Lanka,220.0
Serbia,Slovakia,219.96
Kenya,Zambia,217.94
United States of America,Madagascar,216.0
Seychelles,United States of America,211.69
